,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENaN N+ NITRITENaNN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
181,"D/S JHARMAL NADI, PUNJAB",PUNJAB,24.3,5.0,7.3,1067.0,19.3,6.2,21467.0,39533.0,2014
182,"U/S JHARMAL NADI, PUNJAB",PUNJAB,23.3,5.3,7.2,970.0,13.3,5.9,3167.0,7133.0,2014
183,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,19.5,4.9,7.7,1418.0,21.0,4.2,28000.0,49500.0,2014
184,"D/S SARDULGARH, PUNJAB",PUNJAB,21.5,4.1,7.5,1015.0,23.0,6.1,35000.0,57500.0,2014
185,"U/S SARDULGARH, PUNJAB",PUNJAB,20.0,4.8,7.4,854.0,17.0,4.7,20500.0,38000.0,2014
186,"GHAGGAR GHNaN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,26.21,6.4,8.2,0.0,19.8,1.66,0.0,0.0,2014
187,"GHAGGAR GHNaN2 AT CHANDARPUR SYPHON,  HARYANA",HARYANA,26.21,6.4,7.9,0.0,18.2,1.66,0.0,0.0,2014
188,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,32.6,4.0,6.8,370.0,3.0,0.8,4.0,9.0,2014
189,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,23.6,7.8,7.8,376.0,1.3,0.4,9.0,17.0,2014
190,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,23.9,7.7,7.7,354.0,1.3,0.3,12.0,22.0,2014
191,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,24.5,7.6,7.9,344.0,1.6,0.4,12.0,22.0,2014
192,KALA AMB D/S MARKANDA RIVER,HARYANA,26.21,6.4,7.2,0.0,88.0,1.66,0.0,0.0,2014
193,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,18.1,4.4,7.1,694.0,41.0,1.2,92.0,224.0,2014
194,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,25.1,5.9,8.0,401.0,0.9,0.7,4.0,15.0,2014
195,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,22.3,6.0,7.2,106.0,0.8,0.4,4.0,15.0,2014
196,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,23.7,5.6,7.9,326.0,1.1,0.8,4.0,4.0,2014
197,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,23.9,6.2,8.1,592.0,1.0,0.7,4.0,6.0,2014
198,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,25.5,7.2,7.5,119.0,2.3,3.8,33.0,74.0,2014
199,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,25.1,7.2,7.5,120.0,2.3,4.1,31.0,67.0,2014
200,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,25.2,7.5,7.3,82.0,1.8,2.8,30.0,70.0,2014
201,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,23.2,7.5,7.5,111.0,2.4,3.0,293.0,506.0,2014
202,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,20.1,5.3,3.3,831.0,7.7,3.2,18.0,36.0,2014
203,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,18.3,7.2,7.2,56.0,1.7,2.6,21.0,42.0,2014
204,"KYNSHI RIVER AT NaNGKHNUM, WEST KHASI HILLS",MEGHALAYA,19.3,7.5,7.2,66.0,1.6,2.5,22.0,44.0,2014
205,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,24.0,7.8,7.0,74.0,2.3,4.3,28.0,108.0,2014
206,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,20.5,6.7,2.7,1350.0,3.3,1.1,7.0,16.0,2014
207,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,21.2,7.3,6.6,274.0,2.5,2.4,176.0,386.0,2014
208,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,26.3,7.4,7.3,67.0,1.8,2.5,25.0,55.0,2014
209,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,25.5,7.2,7.4,82.0,2.0,2.8,26.0,61.0,2014
210,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,20.0,7.3,7.1,55.0,1.9,2.5,24.0,53.0,2014
211,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,20.3,7.3,7.1,57.0,2.0,2.4,24.0,50.0,2014
212,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,19.4,6.6,7.1,114.0,2.6,2.8,2142.0,3108.0,2014
213,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21.0,7.3,5.6,56.0,1.8,2.1,16.0,34.0,2014
214,"NONBAH RIVER AT NaNGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,19.2,5.1,7.0,105.0,3.6,4.7,351.0,780.0,2014
215,"NONBAH RIVER AT NaNGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,18.3,7.3,7.1,51.0,1.6,2.4,19.0,40.0,2014
216,"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,19.6,7.7,7.2,50.0,1.6,2.0,19.0,36.0,2014
217,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,23.7,7.6,7.3,115.0,2.1,3.7,301.0,528.0,2014
218,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18.2,6.2,7.0,81.0,2.4,5.1,36.0,79.0,2014
219,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.8,7.2,7.1,66.0,1.9,3.4,28.0,63.0,2014
220,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.9,7.4,7.1,57.0,1.5,2.9,13.0,40.0,2014
221,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,25.1,7.5,7.4,144.0,1.7,3.5,26.0,59.0,2014
222,UMKHEN AT WAHKDAIT,MEGHALAYA,18.8,7.1,7.1,63.0,1.9,5.6,22.0,48.0,2014
223,UMKHEN AT KSEHPONGDENG,MEGHALAYA,20.2,7.3,7.2,65.0,1.9,3.3,24.0,48.0,2014
224,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,20.0,7.3,7.3,65.0,2.0,3.0,25.0,54.0,2014
225,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18.5,1.5,6.9,345.0,33.9,16.9,23232.0,34251.0,2014
226,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,18.8,3.9,7.1,233.0,17.0,10.5,13174.0,22223.0,2014
227,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,18.3,1.0,7.2,376.0,57.2,20.3,48665.0,83554.0,2014
228,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,18.5,0.9,7.2,506.0,61.1,19.6,64250.0,106333.0,2014
229,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,18.2,7.2,7.0,66.0,1.9,3.7,28.0,60.0,2014
230,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,22.1,7.7,7.2,62.0,1.6,3.0,27.0,59.0,2014
231,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,17.6,7.3,6.9,61.0,2.2,2.0,25.0,52.0,2014
232,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,18.7,1.2,7.1,380.0,45.7,15.6,51583.0,94083.0,2014
233,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,18.7,3.2,7.1,258.0,23.5,10.3,31833.0,54083.0,2014
234,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,23.1,7.2,7.2,124.0,6.9,4.5,348.0,552.0,2014
235,"UMTREW RIVER AT UMRAN, RINaN BHOI",MEGHALAYA,22.6,7.2,7.1,65.0,2.1,2.4,56.0,120.0,2014
236,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,20.0,7.5,7.3,64.0,1.9,3.3,21.0,42.0,2014
237,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,19.9,7.6,7.3,65.0,1.9,3.8,21.0,43.0,2014
238,TLAWNG UPSTREAM AIZAWL,MIZORAM,24.5,7.1,7.3,269.0,1.4,0.1,0.0,115.0,2014
239,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24.4,7.2,7.3,275.0,1.5,0.1,4.0,68.0,2014
240,TUIRIAL UPPER CATCHMENT,MIZORAM,23.6,6.9,7.1,186.0,1.6,0.1,0.0,29.0,2014
241,TUIRIAL LOWER CATCHMENT,MIZORAM,23.5,6.8,7.1,201.0,1.4,0.2,0.0,86.0,2014
242,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,27.3,6.2,7.8,165.0,2.1,1.66,282.0,340.0,2014
243,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,29.1,6.4,7.8,158.0,4.1,0.5,458.0,500.0,2014
244,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,26.6,6.6,7.9,210.0,4.2,1.9,510.0,572.0,2014
245,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,26.21,6.4,0.0,208.0,6.94,1.66,0.0,0.0,2013
246,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,27.1,7.3,7.9,693.0,0.5,1.0,161.0,173.0,2013
247,"DAMANGANGA AT KACHIGAON D\S (DAMAN), GUJARAT",GUJARAT,27.3,5.0,7.6,1676.0,1.8,8.0,329.0,174.0,2013
248,RIVER DHADAR AT KOTHADA,GUJARAT,26.21,6.4,0.0,506.0,6.94,6.0,26.0,227.0,2013
249,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,24.5,6.0,7.7,1863.0,8.6,1.0,47.0,1183.0,2013
250,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,26.21,6.4,0.0,24300.0,6.94,7.0,22474.0,24.0,2013
251,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,27.5,5.3,7.8,817.0,2.8,1.0,9.0,23.0,2013
252,"BHADAR V/S JETPUR VILL. A/C OF W. WATER FROM JETPUR CITY, GUJARAT",GUJARAT,28.3,4.3,7.8,2307.0,103.8,1.23,0.0,1817.0,2013
253,BALEHWAR KHADI AT N.H. NO 8,GUJARAT,28.4,4.5,8.3,1287.0,1.5,11.0,116.0,5.0,2013
254,TRIVENI SANGAM,GUJARAT,26.21,6.4,0.0,0.0,6.94,1.66,0.0,2.0,2013
255,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,27.6,6.8,8.2,1862.0,2.5,0.87,7.0,64.0,2013
256,"UPSTREAM OF RIVER VISHWAMITRI AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",GUJARAT,26.21,5.0,8.0,0.0,0.7,1.66,0.0,0.0,2013
257,"DOWNSTREAM OF RIVER VISHWAMITRI AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,26.21,3.0,7.7,0.0,0.4,1.66,0.0,0.0,2013
258,KAVERI ON BRIDGE AT BILLIMORANaNVALSAD ROAD,GUJARAT,27.0,6.7,8.1,2520.0,7.2,1.0,6.0,41.0,2013
259,RIVER BHOGAVO D/S OF SURENDRANAGAR,GUJARAT,29.0,8.2,8.4,606.0,2.9,1.66,0.0,0.0,2013
260,0,0,26.21,6.4,0.0,0.0,6.94,1.66,0.0,0.0,2013
261,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,30.0,5.6,7.5,41.0,2.0,0.08,7022.0,13410.0,2013
263,RIVER ZUARI AT BORIM BRIDGE,GOA,30.8,5.5,7.1,123.0,1.5,0.09,3293.0,6264.0,2013
264,RIVER ZUARI AT MARCAIM JETTY,GOA,30.3,5.3,7.3,182.0,1.5,0.08,1976.0,3080.0,2013
265,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.1,6.0,7.6,100.0,1.2,0.17,5129.0,6086.0,2013
266,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.9,5.7,6.9,111.0,1.0,0.14,939.0,3061.0,2013
267,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.1,6.4,7.1,140.0,1.1,0.1,4464.0,7908.0,2013
268,RIVER MANDOVI AT IFFI JETTY,GOA,29.9,6.2,7.8,44.0,2.0,0.06,9429.0,9320.0,2013
269,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,29.8,6.1,7.6,43.0,1.8,0.06,6668.0,9554.0,2013
270,"RIVER KALNA AT CHANDELNaN PERNEM, GOA",GOA,27.9,7.0,6.9,64.0,1.1,0.09,1641.0,2841.0,2013
271,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.2,6.6,6.5,62.0,1.0,0.14,4073.0,7190.0,2013
272,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.6,7.0,6.8,304.0,2.0,0.49,12140.0,23867.0,2013
273,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.8,7.0,7.0,55.0,1.2,0.66,1298.0,2813.0,2013
274,RIVER CHAPORA AT SIOLIM,GOA,29.5,6.3,7.6,213.0,1.5,0.06,3803.0,7069.0,2013
275,"RIVER KHANDEPAR AT OPA NaN PONDA, GOA",GOA,29.8,6.7,6.8,83.0,1.2,0.17,2140.0,3559.0,2013
276,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.7,7.1,6.6,76.0,1.0,0.12,2367.0,3527.0,2013
277,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,6.7,6.6,107.0,1.3,0.22,2461.0,3757.0,2013
278,"RIVER MADAI AT DABOS NaN  VALPOI, GOA",GOA,27.9,7.2,6.7,89.0,0.9,0.06,832.0,1996.0,2013
279,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,GOA,29.3,4.2,6.7,192.0,2.0,0.16,4448.0,9286.0,2013
280,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONaN CANACONA NATIONAL HIGHWAY)",GOA,28.6,6.3,6.6,79.0,1.6,0.19,2830.0,6054.0,2013
281,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.8,5.6,7.7,142.0,1.7,0.14,1831.0,3644.0,2013
282,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.6,2.8,6.4,424.0,3.2,0.35,12658.0,21036.0,2013
283,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.6,5.2,7.1,306.0,2.6,0.34,1411.0,1525.0,2013
284,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.7,40.0,1.5,0.07,4153.0,7130.0,2013
285,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.4,5.5,7.7,40.0,1.5,0.08,7086.0,12282.0,2013
286,"RIVER TALPONA AT CANACONA, GOA",GOA,29.6,6.9,6.7,63.0,0.9,0.21,691.0,1132.0,2013
287,RIVER TIRACOL AT TIRACOL,GOA,29.6,6.3,7.6,227.0,1.7,0.08,3622.0,3612.0,2013
288,"RIVER VALVANT AT SANKLI NaN BICHOLIM, GOA",GOA,29.5,7.1,6.6,68.0,1.1,0.13,4124.0,8167.0,2013
289,"AMBA RIVER AT D/S OF WAKEN BRIDGENaNU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,26.7,6.9,7.7,121.0,3.3,1.0,77.0,163.0,2013
290,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.3,7.2,8.2,112.0,3.3,1.0,39.0,94.0,2013
291,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,28.0,6.9,7.7,103.0,3.7,0.57,48.0,103.0,2013
292,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,28.2,6.9,7.6,104.0,3.5,0.75,37.0,79.0,2013
293,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,26.5,6.4,7.4,1003.0,4.3,2.89,524.0,753.0,2013
294,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,20.7,6.3,8.3,408.0,2.7,1.58,64.0,157.0,2013
295,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,27.2,6.7,7.8,105.0,3.6,1.0,43.0,89.0,2013
296,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,27.5,6.3,7.6,209.0,4.4,1.86,48.0,98.0,2013
297,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,26.0,5.9,7.6,13768.0,5.0,1.79,166.0,300.0,2013
298,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNaNSWEET ZONE), ROHA",MAHARASHTRA,26.5,7.3,7.7,86.0,3.2,1.0,50.0,93.0,2013
299,MITHI RIVER,MAHARASHTRA,27.0,3.6,7.4,6487.0,30.5,1.5,534.0,745.0,2013
300,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,27.3,6.3,8.3,999.0,3.3,1.78,4.0,112.0,2013
301,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,28.7,7.2,7.7,125.0,3.3,1.0,39.0,89.0,2013
302,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,28.4,7.1,7.5,127.0,3.4,4.4,17.0,63.0,2013
303,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,28.7,7.1,7.4,5300.0,38.0,1.0,388.0,667.0,2013
304,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,28.7,7.2,7.6,127.0,3.2,1.0,22.0,51.0,2013
305,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,28.7,7.0,7.6,126.0,3.3,1.0,20.0,63.0,2013
306,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,28.7,7.2,7.6,126.0,3.4,1.89,29.0,64.0,2013
307,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,28.7,7.1,7.8,112.0,3.2,0.63,43.0,88.0,2013
308,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,29.3,6.8,7.7,9590.0,3.6,4.57,3.0,124.0,2013
309,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NaNGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28.3,6.8,7.4,174.0,3.7,2.26,4.0,124.0,2013
310,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,28.7,6.8,7.6,2572.0,3.3,4.22,4.0,118.0,2013
311,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,29.2,6.7,7.8,6030.0,4.4,4.78,4.0,138.0,2013
312,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.7,6.8,7.7,7207.0,3.9,4.25,3.0,120.0,2013
313,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.2,6.8,8.1,167.0,3.8,1.0,32.0,85.0,2013
314,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.2,6.8,8.0,173.0,3.5,1.0,53.0,98.0,2013
315,"SURYA RIVER AT INTAKE OF VASAINaNVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.2,7.0,8.0,168.0,3.6,1.0,44.0,83.0,2013
316,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,28.0,6.9,7.9,131.0,3.5,0.75,41.0,96.0,2013
317,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,26.2,7.0,7.6,125.0,3.5,0.6,33.0,63.0,2013
318,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,26.2,7.2,7.5,132.0,3.3,0.9,38.0,88.0,2013
319,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,28.2,7.2,7.7,119.0,3.3,1.0,35.0,68.0,2013
320,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,24.5,6.9,7.5,159.0,2.8,1.0,3.0,82.0,2013
321,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,24.5,6.7,7.7,141.0,3.3,3.0,4.0,90.0,2013
322,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,24.5,7.3,7.7,132.0,2.9,2.0,3.0,88.0,2013
323,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,24.0,6.4,7.3,76.0,1.7,0.62,199.0,788.0,2013
324,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.9,6.0,7.1,85.0,1.7,0.53,262.0,538.0,2013
325,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,24.3,6.3,7.1,69.0,1.3,0.57,248.0,593.0,2013
326,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.5,7.3,76.0,1.6,0.55,226.0,545.0,2013
327,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.4,6.7,6.6,60.0,1.2,0.34,228.0,435.0,2013
328,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.0,7.0,6.6,3544.0,1.5,0.37,208.0,435.0,2013
329,R AYROOR AT AYROOR BRIDGE,KERALA,26.6,6.7,7.3,51.0,0.8,0.35,547.0,1567.0,2013
330,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.6,6.9,7.7,107.0,0.7,0.46,255.0,443.0,2013
331,R BHARATHAPUZHA AT PATTAMBI,KERALA,28.8,6.7,7.9,173.0,0.9,0.56,191.0,426.0,2013
332,"CHALAKUDY AT PULICKALKANaNDAVU, KERALA",KERALA,28.0,5.6,6.9,126.0,1.2,0.67,266.0,990.0,2013
333,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,27.4,7.3,7.4,70.0,0.8,0.31,2984.0,4208.0,2013
334,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,27.5,6.9,7.4,12754.0,0.8,0.29,1807.0,2557.0,2013
335,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.8,7.1,7.4,80.0,0.6,0.5,1921.0,2831.0,2013
336,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,30.0,7.2,6.9,62.0,1.3,0.11,33.0,150.0,2013
337,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.8,3.4,6.7,2965.0,2.3,1.11,271.0,1236.0,2013
338,R CORAPUZHA AT KANAYANKODE,KERALA,27.4,6.1,7.2,15871.0,0.9,0.25,1667.0,2975.0,2013
339,"R ITHIKKARA AT AYUR, KERALA",KERALA,24.8,6.4,7.2,120.0,1.9,0.77,258.0,618.0,2013
340,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.2,7.2,7448.0,2.0,1.01,184.0,483.0,2013
341,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,29.8,6.6,6.9,77.0,1.6,0.29,264.0,756.0,2013
342,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.2,6.8,7.0,72.0,1.7,0.2,249.0,785.0,2013
343,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.2,2.9,6.7,305.0,2.2,1.28,403.0,1623.0,2013
344,R KADAMBAYAR AT MANCKAKADAVU,KERALA,27.7,3.0,6.6,86.0,2.0,0.39,357.0,1319.0,2013
345,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,23.9,6.7,7.1,79.0,1.6,0.34,313.0,738.0,2013
346,R KALLAI AT KALLAI BRIDGE,KERALA,27.4,3.6,7.3,32790.0,2.6,0.59,64259.0,112867.0,2013
347,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27.8,6.1,7.8,2905.0,1.3,0.54,422.0,997.0,2013
348,KARAPUZHA DAM AT WAYANAD,KERALA,26.4,6.9,7.4,112.0,0.5,0.35,50.0,67.0,2013
349,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,29.6,7.0,6.9,51.0,1.1,0.18,44.0,317.0,2013
350,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,27.0,3.1,7.2,1416.0,13.2,4.41,2992.0,19917.0,2013
351,"RIVER KARAMANA AT ARUVIKARA, THIRUVANaNTHAPURAM",KERALA,26.3,7.0,7.1,30.0,0.5,0.32,211.0,496.0,2013
352,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,30.0,6.1,7.0,59.0,1.8,0.58,89.0,282.0,2013
353,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.0,6.0,6.4,61.0,2.1,0.28,87.0,300.0,2013
354,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,30.1,6.3,7.0,105.0,2.8,0.37,142.0,543.0,2013
355,R KORAYAR AT KANJIKODE,KERALA,27.9,6.9,8.1,502.0,0.9,0.72,382.0,615.0,2013
356,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,27.0,5.9,6.7,14662.0,1.5,0.52,144.0,377.0,2013
357,R KUPPAM AT RAYAROM,KERALA,26.0,7.8,6.8,49.0,1.4,0.3,122.0,319.0,2013
358,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,27.7,7.1,7.4,380.0,1.0,0.14,1527.0,66382.0,2013
359,"R MAHE AT VALAYAM, KERALA",KERALA,27.1,7.3,7.2,67.0,0.9,0.38,6490.0,3471.0,2013
